Pclass,Age,SibSp,Parch,Fare,cell_number,Cabin_letter,Title,FamilyName,Special Agent/route,TicketBatch,SharedTicket,Male,Embarked_C,Embarked_S,Survived
3,-0.5952538854788113,1,0,-0.3120106021758714,0.3008568971584794,0.31828168110984684,0.15564608822049025,0.0,0.08383602575943412,0,0,1,0,1,0
1,0.635996498383327,1,0,2.4612422909015312,0.38429172510518933,0.3295169549558133,0.7717063437342924,0.38429172510518933,0.6684143753226036,0,0,0,1,0,1
3,-0.28744128951327674,0,0,-0.2827766613540295,0.3094740256361149,0.3295169549558133,0.7210469528899575,0.38429172510518933,0.5993424724349624,0,0,0,0,1,1
1,0.405137051409176,1,0,1.6737318966114614,0.38429172510518933,0.3295169549558133,0.7717063437342924,0.38429172510518933,0.3872125393456663,0,0,0,0,1,1
3,0.405137051409176,0,0,-0.277362968609244,0.29689996906364124,0.3257084499153442,0.1535916754116356,1.0,0.38770768044651477,0,0,1,0,1,0
3,0.011224475654840166,0,0,-0.25967968262767654,0.30013580172028187,0.321044351815695,0.15602635591982308,0.4600025702798137,0.3869680397468104,0,0,1,0,0,0
1,1.867246882245465,0,0,1.6201363384380845,0.0,0.7674125467894592,0.1653768301207497,0.38429172510518933,0.37690781964466263,0,0,1,0,1,0
3,-2.134316865306484,3,1,0.2867438153974083,0.30013580172028187,0.321044351815695,0.5872832091724816,0.0,0.3869680397468104,0,0,1,0,1,0
3,-0.2104881405218931,0,2,-0.14382665788926616,0.2983200672975898,0.3211062273176607,0.816271646256876,0.5993424724349624,0.37690781964466263,0,0,0,0,1,1
2,-1.2108790774098803,1,0,0.6763477929457417,0.3008568971584794,0.31828168110984684,0.7782265097636819,0.38288920056100983,0.38262525669981057,0,0,0,1,0,1
3,-1.980410567323717,1,1,0.09726456932991473,0.3971109337536771,0.34516093745085064,0.6952178649171613,1.0,0.45948116453156507,1,0,0,0,1,1
1,2.1750594782109998,0,0,0.5238635576190146,0.38429172510518933,0.321044351815695,0.6940740350048074,0.38429172510518933,0.3869680397468104,0,0,0,0,1,1
3,-0.7491601834615785,0,0,-0.277362968609244,0.30013580172028187,0.321044351815695,0.15602635591982308,0.38429172510518933,0.14124650578495523,1,0,1,0,1,0
3,0.7129496473747106,1,5,0.7285011433719076,0.3008568971584794,0.31828168110984684,0.15564608822049025,0.15940237245514682,0.38262525669981057,0,0,1,0,1,0
3,-1.2108790774098803,0,0,-0.2858429769246761,0.29689996906364124,0.3257084499153442,0.6908803182654405,0.38342696629213485,0.38770768044651477,0,0,0,0,1,0
2,1.9442000312368488,0,0,0.06694788995911578,0.3008568971584794,0.31828168110984684,0.7782265097636819,0.38288920056100983,0.38262525669981057,0,0,0,0,1,1
3,-2.134316865306484,4,1,0.6353856281615965,0.3094740256361149,0.3295169549558133,0.5647576426310278,0.0,0.3872125393456663,0,0,1,0,0,0
2,0.011224475654840166,0,0,-0.06298073591573695,0.30013580172028187,0.321044351815695,0.15602635591982308,0.0,0.3869680397468104,0,0,1,0,1,1
3,0.09732445544364145,1,0,0.15356697387568427,0.29689996906364124,0.3257084499153442,0.8091580385189341,0.0,0.38770768044651477,0,0,0,0,1,0
3,0.011224475654840166,0,0,-0.31309334072482853,0.30013580172028187,0.321044351815695,0.7725948393454065,0.38429172510518933,0.3869680397468104,1,0,0,1,0,1
2,0.405137051409176,0,0,0.5000433095419583,0.3094740256361149,0.3295169549558133,0.15415052325371903,0.38429172510518933,0.3872125393456663,0,0,1,0,1,0
2,0.3281839024177924,0,0,-0.06298073591573695,0.38429172510518933,0.6969581485886123,0.15415052325371903,0.38429172510518933,0.3872125393456663,0,0,1,0,1,1
3,-1.1339259284184968,0,0,-0.27826380708197634,0.2983200672975898,0.3211062273176607,0.6781980590530127,0.38429172510518933,0.37690781964466263,0,0,0,0,0,1
1,-0.13353499153050946,0,0,0.9114839581456586,0.45968124880604755,0.5376575074966405,0.1535916754116356,0.38342696629213485,0.38770768044651477,0,0,1,0,1,1
3,-1.6725979713581822,3,1,0.2867438153974083,0.30013580172028187,0.321044351815695,0.6940740350048074,0.0,0.3869680397468104,0,1,0,0,1,0
3,0.635996498383327,1,5,0.7333734668422146,0.3094740256361149,0.3295169549558133,0.7717063437342924,1.0,0.3872125393456663,0,0,0,0,1,1
3,0.011224475654840166,0,0,-0.31309334072482853,0.2983200672975898,0.3211062273176607,0.1653768301207497,0.38429172510518933,0.37690781964466263,1,0,1,1,0,0
1,-0.8261133324529623,3,2,10.764404753655324,0.29689996906364124,0.3257084499153442,0.1535916754116356,0.5990926069419968,0.38770768044651477,0,0,1,0,1,0
3,0.011224475654840166,0,0,-0.28476023837571895,0.3008568971584794,0.31828168110984684,0.6952178649171613,0.38288920056100983,0.38262525669981057,0,0,0,0,0,1
3,0.011224475654840166,0,0,-0.2840412999792114,0.3094740256361149,0.3295169549558133,0.15415052325371903,0.38429172510518933,0.3872125393456663,0,0,1,0,1,0
1,0.7899027963660942,0,0,0.5745703693437738,0.3008568971584794,0.31828168110984684,0.38288920056100983,0.38288920056100983,0.6330962375323751,0,0,1,1,0,0
1,0.011224475654840166,1,0,5.719743953987942,0.38429172510518933,0.7347728809783071,0.816271646256876,0.38429172510518933,0.6121788756694829,0,0,0,1,0,1
3,0.011224475654840166,0,0,-0.29035583119672925,0.3094740256361149,0.3295169549558133,0.7210469528899575,0.38429172510518933,0.3872125393456663,0,0,0,0,0,1
2,2.7906846701420687,0,0,-0.1712545908114476,0.3094740256361149,0.3295169549558133,0.15415052325371903,0.38429172510518933,0.3243659478759484,0,0,1,0,1,0
1,-0.13353499153050946,1,0,2.9327749289723513,0.2983200672975898,0.3211062273176607,0.1653768301207497,0.4600025702798137,0.6121788756694829,0,0,1,1,0,0
1,0.9438090943488615,1,0,1.6260914004573488,0.29689996906364124,0.3257084499153442,0.1535916754116356,1.0,0.38770768044651477,0,0,1,0,1,0
3,0.011224475654840166,0,0,-0.3129114406486037,0.29689996906364124,0.3257084499153442,0.1535916754116356,0.38342696629213485,0.38770768044651477,1,0,1,1,0,1
3,-0.6722070344701949,0,0,-0.277362968609244,0.3094740256361149,0.3295169549558133,0.15415052325371903,0.38429172510518933,0.11730252913528318,1,0,1,0,1,0
3,-0.9030664814443459,2,0,0.15356697387568427,0.2983200672975898,0.3211062273176607,0.6781980590530127,0.0,0.37690781964466263,0,0,0,0,1,0
3,-1.2108790774098803,1,0,-0.13913190354098817,0.29689996906364124,0.3257084499153442,0.6908803182654405,1.0,0.38770768044651477,1,0,0,1,0,1
3,0.7899027963660942,1,0,-0.21564687131868895,0.3094740256361149,0.3295169549558133,0.7717063437342924,0.38429172510518933,0.3872125393456663,1,0,0,0,1,0
2,-0.2104881405218931,1,0,0.283495599750537,0.2983200672975898,0.3211062273176607,0.816271646256876,0.0,0.37690781964466263,0,0,0,0,1,0
3,0.011224475654840166,0,0,-0.2840412999792114,0.3094740256361149,0.3295169549558133,0.15415052325371903,0.38429172510518933,0.3872125393456663,0,0,1,1,0,0
2,-2.0573637163151006,1,2,1.1747713256184602,0.30013580172028187,0.321044351815695,0.6940740350048074,0.0,0.0,1,0,0,1,0,1
3,-0.8261133324529623,0,0,-0.28476023837571895,0.29689996906364124,0.3257084499153442,0.6908803182654405,0.38342696629213485,0.38770768044651477,0,0,0,0,0,1
3,0.011224475654840166,0,0,-0.277362968609244,0.3008568971584794,0.31828168110984684,0.15564608822049025,0.38288920056100983,0.38288920056100983,0,0,1,0,1,0
3,0.011224475654840166,1,0,0.04529311897997366,0.3008568971584794,0.31828168110984684,0.15564608822049025,0.38288920056100983,0.38262525669981057,0,0,1,0,0,0
3,0.011224475654840166,0,0,-0.29035583119672925,0.2983200672975898,0.3211062273176607,0.6781980590530127,0.38429172510518933,0.37690781964466263,0,0,0,0,0,1
3,0.011224475654840166,2,0,0.31291144064860377,0.3094740256361149,0.3295169549558133,0.15415052325371903,0.38429172510518933,0.3872125393456663,1,0,1,1,0,0
3,-0.9030664814443459,1,0,0.14490506548402746,0.30013580172028187,0.321044351815695,0.7725948393454065,0.0,0.3869680397468104,0,0,0,0,1,0
3,-1.749551120349566,4,1,1.092842665095974,0.30013580172028187,0.321044351815695,0.5872832091724816,0.0,0.3869680397468104,0,0,1,0,1,0
3,-0.6722070344701949,0,0,-0.28819035409881505,0.3094740256361149,0.3295169549558133,0.15415052325371903,0.38429172510518933,0.0,0,0,1,0,1,0
1,1.482481137288547,1,0,2.6971017254521517,1.0,0.7044242883515269,0.816271646256876,0.5993424724349624,0.6121788756694829,0,0,0,1,0,1
2,-0.05658184253912583,1,0,0.5000433095419583,0.3094740256361149,0.3295169549558133,0.7717063437342924,0.38429172510518933,0.3872125393456663,1,0,0,0,1,1
1,2.713731521150685,0,1,2.058285981567459,0.0,0.7820842809393246,0.15564608822049025,0.38288920056100983,0.38262525669981057,0,0,1,1,0,0
1,0.011224475654840166,0,0,0.9114839581456586,0.38429172510518933,0.321044351815695,0.15602635591982308,0.38429172510518933,0.3869680397468104,0,0,1,0,1,1
